day_type,steps
weekday,8600
weekday,9000
weekday,9400
weekday,8800
weekday,9200
weekend,6000
weekend,6400
weekday,8400
weekday,9600
weekday,8900
weekday,9300
weekday,8800
weekend,6200
weekend,5800
weekday,9100
weekday,8700
weekday,9500
weekday,9000
weekday,8700
weekend,6500
weekend,5900
weekday,9300
weekday,8500
weekday,9200
weekday,8800
weekday,9200
weekend,6100
weekend,6300
weekday,8900
weekday,9700
weekday,8600
weekday,9400
weekday,8400
weekend,6100
weekend,6700
weekday,9200
weekday,8800
weekday,9600
weekday,8700
weekday,8700
weekend,6400
weekend,6000
weekday,8500
weekday,9500
weekday,9000
weekday,9100
weekday,8900
weekend,5900
weekend,6500
weekday,9400
weekday,8600
weekday,9300
weekday,8500
weekday,9200
weekend,6200
weekend,6200
weekday,8800
weekday,9600
weekday,8700
weekday,8900
